title,price
"Безжичен рутер Asus RT-N12+, 300Mbps","45,00 лв."
"Рутер ASUS - RT-AC68U V3 , 1.9Gbps, черен","249,00 лв."
"Рутер Asus - RT-AC1200 V2 Dual-Band, 867Mbps, черен","80,00 лв."
"Рутер Asus - RT-AC85P, 1734Mbps, черен","309,00 лв."
"Рутер ASUS - RT-AX55 AX1800, 1.8Gbps, черен","209,00 лв."
"Рутер ASUS - RT-AX68U AX2700, 2.7Gbps, черен","389,00 лв."
"Рутер Asus - RT-N12E, 300Mbps, черен/сив","39,99 лв."
"Рутер ASUS - RT-AX53U, 1748Mbps, черен","189,00 лв."
Рутер ASUS RT-AC51U Dual-Band AC750 Wifi 4-port Gigabit Router,"79,00 лв."
"Рутер ASUS RT-N19 High-Speed N600 WiFi Router with time scheduling, IPTV support","59,00 лв."
"Wi-fi система ASUS - ZenWiFi AX Mini, 1.8Gbps, 2 модула, бели","535,00 лв."
"Гейминг рутер ASUS - ROG Rapture GT-AC2900, 2.9Gbps, черен","579,99 лв."
"Рутер ASUS - RT-AC750, 733Mbps, черен","79,00 лв."
"Рутер ASUS - RT-AC1200 V2, 1167Mbps, черен","79,00 лв."
"Рутер Gaming ASUS RT-AC2900 / RT-AC86U, USB 3.1","245,00 лв."
